trait	run	independent	dependent	covarion	q12=q21	q13=q31	q24=q42	q34=q43	logBF_dependent	mean_logBF_dependent	logBF_covarion	mean_logBF_covarion	logBF_q12=q21	mean_logBF_q12=q21	logBF_q13=q31	mean_logBF_q13=q31	logBF_q24=q42	mean_logBF_q24=q42	logBF_q34=q43	mean_logBF_q34=q43	feature
LEN_intergenic	run3	-442.768603	-430.016861	-423.97614	-429.072232	-429.334383	-429.278481	-428.841925	25.503483999999958	25.390607333333303	12.081442000000038	11.73431933333336	-1.8892580000000407	-1.990633333333373	-1.3649560000000065	-1.5897793333333539	-1.476760000000013	-1.559852666666681	-2.349872000000005	-2.310008000000001	Intergenic length
LEN_introns	run1	-346.306295	-337.925727	-322.83516	-337.101942	-338.884796	-336.943685	-336.603873	16.761135999999965	16.55810733333332	30.181134000000043	30.857147333333387	-1.6475699999999733	-1.944562000000019	1.918137999999999	1.797553333333326	-1.964083999999957	-2.4175833333333308	-2.643707999999947	-2.8581740000000004	Intron length
LEN_introns	run2	-346.31275	-338.017643	-322.442937	-337.029139	-338.943556	-336.732794	-336.540827	16.590213999999946	16.55810733333332	31.149412000000098	30.857147333333387	-1.977008000000069	-1.944562000000019	1.85182599999996	1.797553333333326	-2.5696980000000167	-2.4175833333333308	-2.953632000000084	-2.8581740000000004	Intron length
LEN_introns	run3	-346.313957	-338.152471	-322.532023	-337.047917	-338.963819	-336.792987	-336.66388	16.32297200000005	16.55810733333332	31.24089600000002	30.857147333333387	-2.2091080000000147	-1.944562000000019	1.622696000000019	1.797553333333326	-2.718968000000018	-2.4175833333333308	-2.9771819999999707	-2.8581740000000004	Intron length
N_introns	run1	-460.440388	-450.515783	-419.88104	-449.64072	-452.733092	-449.783945	-449.497557	19.84920999999997	19.709609333333294	61.26948600000003	61.23132666666667	-1.750126000000023	-2.2703220000000406	4.434618	4.555537333333291	-1.463675999999964	-1.706520666666658	-2.036452000000054	-2.2051900000000537	Introns
N_introns	run2	-460.388786	-450.619142	-419.945831	-449.470403	-453.100718	-449.755169	-449.546952	19.539287999999942	19.709609333333294	61.346622000000025	61.23132666666667	-2.297478000000069	-2.2703220000000406	4.963151999999923	4.555537333333291	-1.7279459999999744	-1.706520666666658	-2.1443800000000692	-2.2051900000000537	Introns
N_introns	run3	-460.492529	-450.622364	-420.083428	-449.240683	-452.756785	-449.658394	-449.404995	19.74032999999997	19.709609333333294	61.07787199999996	61.23132666666667	-2.763362000000029	-2.2703220000000406	4.26884199999995	4.555537333333291	-1.927940000000035	-1.706520666666658	-2.4347380000000385	-2.2051900000000537	Introns
propGC	run1	-431.131996	-432.419903	-414.720954	-431.776473	-431.113063	-431.50663	-431.211498	-2.575813999999923	-2.770055333333327	35.39789799999994	35.478457333333346	-1.2868599999999333	-1.522829999999961	-2.613679999999931	-2.9764299999999744	-1.8265460000000076	-2.250760666666679	-2.4168099999999413	-2.7186319999999946	GC
propGC	run2	-431.100355	-432.554441	-414.720965	-431.697872	-430.833529	-431.46619	-431.139264	-2.908172000000036	-2.770055333333327	35.66695200000004	35.478457333333346	-1.713137999999958	-1.522829999999961	-3.441823999999997	-2.9764299999999744	-2.1765020000000277	-2.250760666666679	-2.830353999999943	-2.7186319999999946	GC
propGC	run3	-431.148545	-432.561635	-414.876374	-431.777389	-431.124742	-431.187018	-431.107269	-2.826180000000022	-2.770055333333327	35.37052200000005	35.478457333333346	-1.568491999999992	-1.522829999999961	-2.8737859999999955	-2.9764299999999744	-2.7492340000000013	-2.250760666666679	-2.9087320000001	-2.7186319999999946	GC
pseudo_tRNA	run1	-520.002685	-511.50236	-495.652979	-510.325018	-511.251722	-510.942167	-510.769518	17.000650000000064	17.115331333333376	31.698761999999988	30.914596666666665	-2.35468400000002	-2.292479333333366	-0.5012760000000753	-0.6278866666667303	-1.1203860000000532	-1.2436306666667178	-1.4656840000000102	-1.051117333333347	Pseudo tRNA
pseudo_tRNA	run2	-520.030252	-511.207917	-496.121305	-510.383395	-510.952656	-510.6434	-511.029083	17.64467000000002	17.115331333333376	30.173224000000005	30.914596666666665	-1.6490440000000035	-2.292479333333366	-0.5105220000000372	-0.6278866666667303	-1.129034000000047	-1.2436306666667178	-0.35766799999998966	-1.051117333333347	Pseudo tRNA
pseudo_tRNA	run3	-519.978191	-511.627854	-496.191952	-510.190999	-511.191923	-510.887118	-510.962854	16.70067400000005	17.115331333333376	30.871803999999997	30.914596666666665	-2.8737100000000737	-2.292479333333366	-0.8718620000000783	-0.6278866666667303	-1.4814720000000534	-1.2436306666667178	-1.330000000000041	-1.051117333333347	Pseudo tRNA
tRNA	run1	-401.229878	-383.966427	-376.652281	-382.815685	-386.683214	-383.583259	-382.821443	34.52690199999995	33.93762999999998	14.628291999999988	15.245522666666679	-2.301484000000073	-2.677876000000007	5.433574000000021	4.879827333333348	-0.7663360000000239	-1.1072586666667046	-2.2899680000000444	-3.0014013333333573	 tRNA
tRNA	run2	-401.176106	-384.347312	-376.430055	-382.839602	-386.535089	-383.691721	-382.669634	33.65758800000003	33.93762999999998	15.834514000000013	15.245522666666679	-3.015419999999949	-2.677876000000007	4.375554000000079	4.879827333333348	-1.3111820000000307	-1.1072586666667046	-3.355356000000029	-3.0014013333333573	 tRNA
tRNA	run3	-401.116356	-384.302156	-376.665275	-382.943794	-386.717333	-383.680027	-382.622716	33.62839999999994	33.93762999999998	15.273762000000033	15.245522666666679	-2.7167239999999993	-2.677876000000007	4.830353999999943	4.879827333333348	-1.244258000000059	-1.1072586666667046	-3.358879999999999	-3.0014013333333573	 tRNA
